tokenizer,domain,trial,batch_size,docs,throughput_docs_per_s,throughput_tokens_per_s,avg_batch_latency_ms
sentencepiece,technical,5,8,32,6661.115721545977,4951498.739637942,1.1977750036749057
sentencepiece,web,1,8,32,14940.006457166917,1643400.710288361,0.5332250038918573
sentencepiece,web,2,8,32,12712.032717871083,1398323.5989658192,0.6270249978115316
sentencepiece,web,3,8,32,13876.241299491523,1526386.5429440674,0.5739000007451978
sentencepiece,web,4,8,32,13899.14435934158,1528905.879527574,0.5728500000259373
sentencepiece,web,5,8,32,15170.909809722514,1668800.0790694766,0.5226999965088908
naive,code,1,8,32,4799.688023909519,9003164.801099027,1.6656499974487815
naive,code,2,8,32,4367.646650913737,8192749.694409284,1.8289500039827544
naive,code,3,8,32,4786.120245613867,8977714.616967887,1.670049998210743
naive,code,4,8,32,4741.02169198656,8893119.595671663,1.6862000011315104
naive,code,5,8,32,4628.290426711699,8681660.401980305,1.7274750061915256
naive,english,1,8,32,8724.813910007413,6727376.825485091,0.9148499957518652
naive,english,2,8,32,10387.924042488701,8009738.682011444,0.7692750041314866
naive,english,3,8,32,10499.37660933891,8095675.576838383,0.7611500004713889
naive,english,4,8,32,10448.97956721041,8056816.307542176,0.7646250051038805
naive,english,5,8,32,10583.410496851457,8160470.956228526,0.7550000009359792
naive,technical,1,8,32,6355.006556473868,8427135.881794129,1.256525003554998
naive,technical,2,8,32,6324.735637552338,8386994.751371746,1.2623750008060597
naive,technical,3,8,32,6376.407293008741,8455514.595985405,1.253250000445405
naive,technical,4,8,32,7089.52744196158,9401156.483506178,1.1273999953118619
naive,technical,5,8,32,6643.690563018633,8809948.917222897,1.2028249984723516
naive,web,1,8,32,46336.51958791909,7494932.043345912,0.1717750055831857
naive,web,2,8,32,48323.76977920534,7816369.761786464,0.1647000026423484
naive,web,3,8,32,47548.2910722076,7690936.080929579,0.16742500156397
naive,web,4,8,32,46262.83076368712,7483012.876026392,0.17210000078193843
naive,web,5,8,32,44861.90921151326,7256413.81496227,0.17747500169207342
cached,code,1,8,32,8394.543524827961,15746327.346181199,0.9518750048300717
cached,code,2,8,32,8248.060413721785,15471557.072926568,0.9687499987194315
cached,code,3,8,32,8254.230305732068,15483130.44067398,0.9681250012363307
cached,code,4,8,32,8060.453419469529,15119647.390739327,0.9894750000967178
cached,code,5,8,32,7747.6212589857805,14532842.689706922,1.030849995004246
cached,english,1,8,32,16580.31089339033,12784455.968234783,0.4815250031242613
cached,english,2,8,32,16298.2581989748,12566975.712547006,0.48997500562109053
cached,english,3,8,32,16426.26156277815,12665674.306249626,0.48602500100969337
cached,english,4,8,32,14750.622275164105,11373651.688043723,0.5398499997681938
cached,english,5,8,32,15577.08222427133,12010903.962552212,0.5125249990669545
cached,technical,1,8,32,11913.626243082192,15798212.99996718,0.6703500039293431
cached,technical,2,8,32,12381.505100518065,16418649.607355736,0.6451499975810293
cached,technical,3,8,32,11712.173361256053,15531073.887860604,0.6819000045652501
cached,technical,4,8,32,12359.507179738275,16389478.989531687,0.6462499950430356
cached,technical,5,8,32,12109.28632377844,16057670.495725447,0.6595249979000073
cached,web,1,8,32,66987.64922725584,10835252.26250863,0.11859999722219072
cached,web,2,8,32,70438.0371741058,11393352.512911614,0.11280000398983248
cached,web,3,8,32,73937.15225452134,11959334.377168825,0.10747499982244335
cached,web,4,8,32,72496.60179653185,11726325.340589026,0.1096500018320512
cached,web,5,8,32,70671.37824191074,11431095.430629063,0.11247500515310094
